"rbr","konfiguracija","tocnost","korisnost","halucinacije","rouge","cosine","bertscore","sekunde"
11,"GraphRAG",3,2.5,2.5,0.434782608695652,0.947101593017578,0.81526780128479,8.14
11,"RAG",2.5,2,2.5,0.138461538461538,0.916543245315552,0.663054168224335,33.77
11,"Vanilla",1,1,1,0.141414141414141,0.90610933303833,0.685275852680206,22.16
12,"GraphRAG",2,1.5,2,0.651162790697674,0.939170956611633,0.773726284503937,11.42
12,"RAG",2.5,2,2,0.755555555555556,0.956991672515869,0.822385907173157,9.61
12,"Vanilla",2,2,2,0.346938775510204,0.936688423156738,0.75162798166275,21.24
13,"GraphRAG",2,2,2,0.311926605504587,0.919436812400818,0.738921940326691,23.93
13,"RAG",2.5,2,2,0.350515463917526,0.924385011196136,0.727164089679718,22.47
13,"Vanilla",1,1,1,0.0952380952380952,0.874202966690063,0.658672034740448,31.99
14,"GraphRAG",2,2,2,0.253164556962025,0.89525032043457,0.671432435512543,12.53
14,"RAG",2,2,2,0.2,0.927363693714142,0.743272602558136,23.1
14,"Vanilla",1,1,1,0.285714285714286,0.914514183998108,0.728257775306702,21.56
15,"GraphRAG",3,2,1.5,0.277777777777778,0.899794816970825,0.675999045372009,8.07
15,"RAG",3,2.5,1.5,0.212765957446808,0.904550194740295,0.70259553194046,8.13
15,"Vanilla",2.5,2,2,0.245614035087719,0.886711418628693,0.697524189949036,9.82
16,"GraphRAG",2,2,2,0.230769230769231,0.946487665176392,0.768040299415588,15.1
16,"RAG",3,3,2,0.436363636363636,0.9222811460495,0.785809993743896,11.36
16,"Vanilla",2,2,2,0.202020202020202,0.919317245483398,0.728477358818054,20.08
17,"GraphRAG",2,2,2,0.428571428571428,0.93182909488678,0.761009752750397,10.49
17,"RAG",2,2,2,0.238095238095238,0.928273558616638,0.735604882240295,25.55
17,"Vanilla",2,2,2,0.165137614678899,0.891409754753113,0.710094809532166,21.82
18,"GraphRAG",1.5,2,1.5,0.380952380952381,0.918941557407379,0.745789229869843,10.58
18,"RAG",2,1.5,1,0.136363636363636,0.908705651760101,0.680258929729462,33.2
18,"Vanilla",1,1,2,0.1,0.886860013008118,0.606837093830109,36.47
19,"GraphRAG",2.5,2.5,2,0.327272727272727,0.931487679481506,0.667470395565033,13.84
19,"RAG",3,2,2,0.229166666666667,0.917946815490723,0.701898097991943,21.09
19,"Vanilla",1,1,1.5,0.0916030534351145,0.874201416969299,0.641704022884369,22.96
20,"GraphRAG",3,2.5,2,0.595744680851064,0.941238403320312,0.793989896774292,10.32
20,"RAG",3,2,2,0.514285714285714,0.938505887985229,0.805874764919281,12.24
20,"Vanilla",2,2,2,0.098159509202454,0.914427518844604,0.658810019493103,29.28
21,"GraphRAG",2,2,2,0.315789473684211,0.90226137638092,0.750274121761322,10.29
21,"RAG",2.5,2,2,0.384615384615385,0.952331185340881,0.765157043933868,5.42
21,"Vanilla",1,1.5,1,0.208333333333333,0.894356846809387,0.710556924343109,9.05
22,"GraphRAG",1.5,2,2,0.627450980392157,0.967004656791687,0.860316038131714,8.76
22,"RAG",1,2,1,0.666666666666667,0.936058640480042,0.822685420513153,8.99
22,"Vanilla",1,1,1.5,0.263736263736264,0.937580704689026,0.740597009658813,16
23,"GraphRAG",3,2.5,2,0.678571428571428,0.961004495620728,0.83492112159729,10.21
23,"RAG",1.5,1.5,2,0.55,0.940868437290192,0.788780510425568,7.84
23,"Vanilla",1.5,2,2,0.192,0.930598735809326,0.752129316329956,24.98
24,"GraphRAG",2.5,2.5,2.5,1,1,0.99999988079071,3.3
24,"RAG",1,1.5,2,0.290909090909091,0.896103978157043,0.717751979827881,9.26
24,"Vanilla",1.5,1.5,1.5,0.18,0.872374951839447,0.703747451305389,17.95
25,"GraphRAG",3,2.5,2.5,0.291666666666667,0.956137180328369,0.785263121128082,7.71
25,"RAG",3,2.5,2.5,0.317460317460317,0.93908953666687,0.739655673503876,12.96
25,"Vanilla",1,1,1,0.111111111111111,0.877693951129913,0.66137421131134,28.04
26,"GraphRAG",2.5,2,2,0.480769230769231,0.930055022239685,0.761794447898865,24.53
26,"RAG",2.5,2,2,0.561797752808989,0.941138386726379,0.817653179168701,18.29
26,"Vanilla",1.5,2,2,0.106951871657754,0.901547312736511,0.675245106220245,36.29
27,"GraphRAG",2,2,2,0.556962025316456,0.92857825756073,0.816060245037079,13.43
27,"RAG",2.5,2,2,0.476190476190476,0.934625387191772,0.786564290523529,18.29
27,"Vanilla",1,1,1.5,0.225352112676056,0.897454500198364,0.706199586391449,11.46
28,"GraphRAG",2,2,2,0.0821917808219178,0.918292224407196,0.685473620891571,15.14
28,"RAG",3,2.5,2.5,0.451612903225806,0.931280434131622,0.773232519626617,11.3
28,"Vanilla",2,2,2,0.192592592592593,0.910946249961853,0.706286251544952,26.36
29,"GraphRAG",3,2,2,0.2,0.931048452854156,0.729103982448578,14.96
29,"RAG",3,2.5,2.5,0.222222222222222,0.938873291015625,0.757942795753479,8.13
29,"Vanilla",1,1,1,0.245283018867925,0.917615652084351,0.722107768058777,21.51
30,"GraphRAG",3,2,2.5,0.151898734177215,0.920934915542603,0.756320297718048,14.1
30,"RAG",3,2.5,2,0.535714285714286,0.942524611949921,0.808977663516998,8.59
30,"Vanilla",2.5,2,2,0.30952380952381,0.93872332572937,0.734539866447449,14.13
31,"GraphRAG",2.5,2,2,0.13953488372093,0.94218921661377,0.698036193847656,12.66
31,"RAG",2,2,2,0.366412213740458,0.908299744129181,0.719884872436523,30.7
31,"Vanilla",2,2,2,0.0927152317880795,0.909595370292664,0.681488931179047,29.6
